,Runs,BF,SR,4s,6s
3088,-0.43000773879454707,-0.31212607383922586,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3089,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3090,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3091,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3092,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3093,0.49089379030527935,0.022838493207748185,2.144868285167529,1.6712516802628954,-0.33366879935646004
3094,0.15602050699625156,-0.31212607383922586,3.817540136892503,-0.3161827503200072,0.8897834649505602
3095,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3096,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3097,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3098,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3099,3.839626623395557,2.9258647409481897,1.4308947386120001,3.6586861108457978,4.560140257871621
3100,-0.3462894179672901,-0.20047121815690117,-0.2569598268440155,-0.3161827503200072,-0.33366879935646004
3101,-0.3462894179672901,-0.20047121815690117,-0.2569598268440155,-0.3161827503200072,-0.33366879935646004
3106,-0.3462894179672901,-0.20047121815690117,-0.2569598268440155,-0.3161827503200072,-0.33366879935646004
3107,0.07230218616899461,-0.20047121815690117,1.8875341541329178,-0.3161827503200072,0.8897834649505602
3108,-0.2625710971400332,-0.31212607383922586,0.6008634989598614,-0.3161827503200072,-0.33366879935646004
3109,0.23973882782350853,0.6927676273016963,0.2498597442286515,0.6775344649714441,-0.33366879935646004
3110,0.9094853944415641,1.8093161841249428,0.29450721596315654,0.6775344649714441,-0.33366879935646004
3111,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3112,-0.2625710971400332,-0.20047121815690117,0.17188750252516424,-0.3161827503200072,-0.33366879935646004
3113,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3114,4.509373190013613,4.489032720500735,1.0011467397841995,4.652403326137249,3.3366879935646008
3115,-0.3462894179672901,-0.08881636247457649,-0.3641394924199311,-0.3161827503200072,-0.33366879935646004
3116,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3117,-0.09513445548551928,-0.08881636247457649,0.6008634989598614,-0.3161827503200072,-0.33366879935646004
3118,1.076922036096078,0.4694579159370469,1.8875341541329178,0.6775344649714441,2.1132357292575805
3119,-0.3462894179672901,-0.31212607383922586,-0.04247182862666694,-0.3161827503200072,-0.33366879935646004
3120,-0.43000773879454707,-0.5354357852038751,-0.6858071562131952,-0.3161827503200072,-0.33366879935646004
3121,-0.8805654822394279,-0.7607452018437362,-0.9834670976597606,-0.9321334806997481,-0.32920502622593995
3122,-0.7044205331786922,-0.56337616753945,-0.6290094318412867,-0.6658096290712486,-0.32920502622593995
3123,-1.107037559603231,-1.229496658316416,-2.395335478918207,-1.1984573323282475,-0.32920502622593995
